,label,num_niches,mean_load,var_load,load_ratio,mean_resources,weighted_pref,cosine_similarity,taylor,alpha,EnvDim,EnvDimLog,EnvPr,EnvPrLog,EnvPrCorr,EnvPrLogCorr,best_dist,num_resources,generalists,crm_sparsity,mean_num_resources,comp,exp_cg,exp_cg_null,NicheDim,NicheDim_null
151,PRJNA625750,5,0.03932914898930552,4.6938094072166035e-05,0.015699518573413326,30.0,32.133411331531455,0.9015938130256553,1.1016383164389212,2.352051427640479,3.8825766019541605,5.507273519640032,57.880875530292855,57.30105890999092,-29.025590123067246,-29.962059927794947,0.2101208114185601,250,1.0711137110510485,0.12,30.0,6.17598965420664,0.17478147234794902,0.11199428253902201,5.721430232657807,8.929027244328937
152,PRJNA530790,5,0.2279114053432919,0.00040740074962167147,0.08648549997424189,29.80597014925373,32.11160388313766,0.9049135929607882,0.9505578854949417,2.6780671032766588,3.835796639879521,4.660536456208974,58.96928597063097,58.8760459742498,-27.934451783876447,-27.845695568427367,0.23429301285442278,250,1.0773547622284543,0.11922388059701493,29.80597014925373,5.028606206933474,0.168504642044799,0.09256424736290701,5.934554608496411,10.803307200018644
153,PRJNA674420,5,0.25777798784078365,0.0004560607595293072,0.09712175387306902,29.82051282051282,32.68485817012308,0.9056723482470779,1.00419497361843,2.8997119137323684,4.169415109749381,5.134794927744856,63.84471602087499,64.57756891652653,-23.043339096021988,-22.4399011876133,0.12962862387541735,250,1.0960528535122958,0.11928205128205129,29.82051282051282,5.697738288585085,0.134258854245023,0.070450668609429,7.448298331035922,14.194329446948096
154,PRJNA644520,5,0.07608257591043031,0.00011674641034170298,0.030879729095395256,30.140845070422536,31.487699267687407,0.9048972405544813,1.024893637611527,2.498915531715406,4.4399251735183585,6.030015324301029,68.02664605486906,67.78044917279689,-17.94599556456882,-18.760144564801053,0.13265797235420304,250,1.0446853495354234,0.12056338028169014,30.140845070422536,5.477417113265347,0.144461310182062,0.10920406736406901,6.922268659613552,9.15716808116825
155,PRJNA392012,5,0.18971146441459022,0.0003836711744807006,0.0766652175247775,29.87323943661972,32.25350995329926,0.9044076629378646,1.0087089225042465,2.5139178428428766,5.143000380705594,6.571678023753046,72.31580129499528,75.80050096168803,-15.162308663659559,-12.027886563135297,0.2484700016190401,250,1.0796790224819648,0.11949295774647888,29.87323943661972,5.310161016163187,0.129814164872908,0.09860520535134801,7.703319595200033,10.141452435871118
156,PRJNA720325,5,0.12298482448610834,0.00016064289736827486,0.04892589763381903,29.5,32.370771753461625,0.9067632531004602,1.041930078030698,2.76263668928927,4.25560882321677,5.366086577469153,67.35905282713907,69.42571173514897,-20.302556687445744,-18.64828015959054,0.1417212896960805,250,1.0973142967275127,0.118,29.5,5.474344035272475,0.11997523615502201,0.08325074068636,8.33505339975229,12.011905140488947
157,PRJNA306884,5,0.26058575049876076,0.00028451217328849564,0.10212270042709133,30.0,31.73569844571762,0.9056834057409541,0.8849100214515161,2.9843682299057077,3.880525284777223,5.272414994465199,65.61205089371887,66.32553530440086,-22.0812585088198,-21.30465263912896,0.20717490570084102,250,1.057856614857254,0.12,30.0,5.273479216966578,0.14607538110075502,0.072736992281332,6.845780531014006,13.748162642362251
158,PRJEB6358,5,0.7219694957714708,0.025931260463485505,0.30982109292949617,28.359375,30.041457776174532,0.9053756377207391,1.1263692027550143,1.9708712516194762,3.1462140963590444,4.9752720117874425,41.01310138260128,34.33722377718171,-36.81320846473626,-43.75521515675421,0.18016811220775403,250,1.0593131116667605,0.1134375,28.359375,6.061901811709123,0.30799138935305503,0.16527539186795,3.2468440176218216,6.050507511723037
159,PRJNA398089,5,0.13865595358487845,0.00018836315953749025,0.0586433345381352,29.792207792207794,32.26794548300994,0.9043566357078682,0.9852282757830252,2.8025666022518827,6.700750234034482,8.296727242073542,80.54581718901039,83.50410960879695,-8.23536816105863,-5.100156961521094,0.2630381631467761,250,1.08310017532335,0.11964742085224013,29.792207792207794,5.5993053295903925,0.086871995415306,0.07935010214924801,11.511189483093302,12.602378231588412
160,PRJNA368739,5,1.5013771089992338,0.0031776827083244007,0.6094360650951878,28.609756097560975,29.30291911565272,0.9093730827636131,1.0464278764760535,3.1774405650664055,2.4093618998394852,4.795582103008936,23.995051536668495,21.03478631035844,-57.117955855922546,-60.14245211673747,0.24696644559097142,250,1.0242282043834285,0.1144390243902439,28.609756097560975,5.167249236394037,0.33713408606162704,0.05954611669029101,2.966178862784,16.79370638393032
161,PRJNA521398,5,41.844793128423724,2.2825300389061907,16.248869325529352,28.896103896103895,29.463485553877227,0.9097623917502514,0.9314321277505381,3.063063872406913,2.8447912940643136,5.714676356597045,34.07147429466248,26.521742738369205,-43.22553709807292,-50.97037202836817,0.2684772126879761,250,1.0196352304038412,0.11558441558441558,28.896103896103895,5.51429156855213,0.283917295068747,0.06910337319348901,3.5221524625960616,14.471073607362209
162,PRJNA345390,5,0.982123411229125,0.002912443082014117,0.4106298596943396,29.87837837837838,30.565518903703534,0.9031017809552572,0.9456083399692046,3.090295169755065,3.4076832437685742,5.816854424378696,46.77547679014674,41.380837938320845,-33.56605562752294,-39.13187694609565,0.2778026603761885,250,1.0229979189841978,0.11951351351351351,29.87837837837838,7.327934852709599,0.200059456530523,0.074159698261632,4.998514028490477,13.484413009233748
163,PRJNA322688,5,0.39062960220821064,0.002274485057774583,0.1499426303096703,29.25531914893617,30.860023779366234,0.9079655208183381,1.06289526601513,2.766622199910332,3.9592745536482785,5.950772591323331,58.21349093133963,56.89335305106126,-24.93246949346682,-26.207362991471605,0.16600672770606748,250,1.0548517219128821,0.11702127659574468,29.25531914893617,5.429105792153842,0.164752173224111,0.08706526897375101,6.0697226654467755,11.485636141565086
164,PRJNA398279,5,0.4884244383126447,0.001476729277733124,0.18270776523604357,30.17910447761194,30.864670057360126,0.9023559638086648,0.9740703501204194,2.8270735675352636,2.437305752745771,5.888857806552457,22.027419407799663,19.202751499599575,-57.52375495085381,-60.54188696539592,0.2981470555952142,250,1.022716564709757,0.12071641791044777,30.17910447761194,6.684377685063551,0.369065823703901,0.085100666722766,2.709543760958731,11.750789253599132
